ID,Japanese,English,Chinese,EnglishCensored,Korean,German
0,, , ,, , 
1,,Cyber Detective Novellino,新生電腦偵探,,전뇌탐정의 알,Cyber-Detektiv-Baby
2,,Cyber Detective Iniziale,新手電腦偵探,,시작의 전뇌탐정,Cyber-Det.-Anfänger
3,,Giovane Cyber Detective,菜鳥電腦偵探,,신출내기 전뇌탐정,Junger Cyber-Detektiv
4,,Apprendista Detective,見習生電腦偵探,,견습 전뇌탐정,Detektivazubi
5,,Allenamento Detective,電腦偵探修行中,,전뇌탐정 수행중,Detektiv im Training
6,,Quasi Cyber Detective,半吊子電腦偵探,,반인분 전뇌탐정,Baldiger Cyber-Detektiv
7,,Cyber Detective Ascendente,走紅的電腦偵探,,발매중인 전뇌탐정,Aufstreb. Cyber-Det.
8,,Vero Cyber Detective,獨當一面(？)的電腦偵探,,일인분? 전뇌탐정,Echter Cyber-Detektiv
9,,Cyber Detective in Erba,嶄露頭角的電腦偵探,,신진기예 전뇌탐정,Angehender Cyber-Det.
10,,Buon Cyber Detective,實力派的電腦偵探,,실력파 전뇌탐정,Guter Cyber-Detektiv
11,,Cyber Detective Abile,能幹的電腦偵探,,솜씨좋은 전뇌탐정,Fähiger Cyber-Detektiv
12,,Cyber Detective Esperto,有才能的電腦偵探,,유능한 전뇌탐정,Geübter Cyber-Detektiv
13,,Cyber Detective Forte,傳聞中的電腦偵探,,소문의 전뇌탐정,Starker Cyber-Detektiv
14,,Astuto Cyber Detective,技術精湛的電腦偵探,,민완 전뇌탐정,Schlauer Cyber-Detektiv
15,,Cyber Detective Famoso,著名的電腦偵探,,평판높은 전뇌탐정,Berühmter Cyber-Det.
16,,Cyber Detective Supremo,一流的電腦偵探,,일류 전뇌탐정,Spitzen-Cyber-Detektiv
17,,Dolce Cyber Detective,傑出的電腦偵探,,수완가 전뇌탐정,Toller Cyber-Detektiv
18,,Grande Cyber Detective,超一流的電腦偵探,,초일류 전뇌탐정,Super-Cyber-Detektiv
19,,Incredibile Cyber Detective,最強的電腦偵探,,최강의 전뇌탐정,Fantasti. Cyber-Det.
20,,Miglior Cyber Detective,世界第一的電腦偵探,,세계 최고의 전뇌탐정,Bester Cyber-Detektiv
101,,Hacker Principiante,新人駭客,,신인 해커,Angehender Hacker
102,,Hacker Dilettante,業餘駭客,,아마추어 해커,Amateur-Hacker
103,,Hacker Principiante,初級駭客,,초급 해커,Anfänger-Hacker
104,,Hacker Novellino,新手駭客,,뉴비급 해커,Hacker-Neuling
105,,Hacker Immaturo,中二病駭客,,중2병 해커,Hacker-Lehrling
106,,Hacker nella media,一般駭客,,일반 해커,Normaler Hacker
107,,Hacker Intermedio,中級駭客,,중급 해커,Aufstrebender Hacker
108,,Hacker Veterano,專業駭客,,베테랑 해커,Erfahrener Hacker
109,,Hacker di alto livello,上級駭客,,상급 해커,Hochrangiger Hacker
110,,Hacker Professionista,職業級駭客,,프로급 해커,Profi-Hacker
111,,Hacker Elite,菁英級駭客,,엘리트 해커,Elite-Hacker
112,,Hacker di Classe Speciale,特級駭客,,특급 해커,Begabter Hacker
113,,Hacker Supremo,最高級駭客,,최상급 해커,Überlegener Hacker
114,,Super Hacker,超級駭客,,슈퍼 해커,Super-Hacker
115,,Hacker Virtuoso,超絕技術駭客,,초절기교 해커,Virtuoser Hacker
116,,Hacker Supremo,大師駭客,,마스터 해커,Meister-Hacker
117,,Hacker di Classe Mago,巫師級駭客,,위저드급 해커,Zauberhafter Hacker
118,,Hacker di Classe Divina,半神級駭客,,데미갓급 해커,Gottgleicher Hacker
119,,Hacker di Classe Guru,古魯級駭客,,구루급 해커,Hacker-Guru
120,,Avanguardia,先鋒,,뱅 가드,Vorreiter
